GDP (Billions),Gold Medals,Gold Medals Male,Gold Medals Female
427,18,5,13
8560,56,27,29
259,6,2,4
358,6,5,1
374,0,0,0
6540,94,57,37
7310,6,2,4
140,7,7,0
54,4,4,0
126,3,3,0
132,1,0,1
103,0,0,0
273,2,2,0
131,11,10,1
127,8,7,1
154,13,13,0
195,23,21,2
345,2,2,0
463,16,2,14
188,4,0,4
171,20,2,18
264,5,3,2
5,5,5,0
7,3,3,0
62,6,2,4
142,20,1,19
10,15,12,3
17,4,4,0
446,38,38,0
413,27,20,7
113,7,6,1
2680,30,26,4
164,2,2,0
6,0,0,0
7,1,1,0
12,0,0,0
24,1,1,0
5,0,0,0
1240,9,5,4
373,5,5,0
100,0,0,0
23,10,7,3
1860,8,7,1
1640,7,7,0
2,0,0,0
38,1,1,0
3,0,0,0
1660,43,12,31
2210,50,24,26
284,0,0,0
31,18,8,10
22,42,30,12
23,2,1,1
61,8,7,1
2920,25,24,1
2470,20,16,4
546,1,1,0
241,8,4,4
10,18,18,0
1,0,0,0
181,4,4,0
641,23,15,8
684,1,0,1
46,0,0,0
12300,117,52,65
118,0,0,0
232,2,2,0
172,2,2,0
20,0,0,0
591,48,19,29
2070,16,10,6
2390,8,4,4
2120,21,18,3
6,0,0,0
29,3,3,0
39,14,6,8
12,0,0,0
1,0,0,0
209,1,1,0
159,0,0,0
889,13,13,0
1310,19,14,5
1140,22,14,8
436,31,29,2
1320,25,17,8
476,8,7,1
13,0,0,0
29,0,0,0
32,1,0,1
63,0,0,0
2,0,0,0
37,0,0,0
49,0,0,0
3,0,0,0
177,0,0,0
32,0,0,0
74,0,0,0
98,0,0,0
224,0,0,0
34,0,0,0
434,0,0,0
170,0,0,0
599,4,4,0
49,1,1,0
5,2,1,1
777,9,2,7
63,14,14,0
88,13,12,1
171,0,0,0
629,8,6,2
742,4,4,0
305,0,0,0
1060,31,9,22
287,0,0,0
15000,12,10,2
17400,10,5,5
207,1,0,1
1550,11,10,1
18600,139,54,85
14700,127,69,58
79,1,1,0
279,0,0,0
163,0,0,0
1,0,0,0
333,0,0,0
42,0,0,0
68,0,0,0
4,0,0,0
5,0,0,0
1,0,0,0
2,0,0,0
13,0,0,0
31,0,0,0
9,0,0,0
5,0,0,0
35,0,0,0
28,0,0,0
55,0,0,0
42,0,0,0
59,0,0,0
48,1,0,1
171,0,0,0
419,3,3,0
468,2,1,1
1540,18,9,9
8,0,0,0
9,0,0,0
0,0,0,0
0,0,0,0
10300,130,68,62
16200,145,42,103
415,60,24,36
613,49,31,18
216,0,0,0
355,21,17,4
68,0,0,0
29,0,0,0
0,0,0,0
2,0,0,0
32,0,0,0
137,3,3,0
11,0,0,0
53,0,0,0
38,0,0,0
101,0,0,0
94,0,0,0
59,0,0,0
5,0,0,0
6,0,0,0
12,0,0,0
2,0,0,0
120,0,0,0
13,0,0,0
0,0,0,0
9,0,0,0
4,0,0,0
3,0,0,0
4,13,13,0
5,0,0,0
132,0,0,0
218,0,0,0
74,0,0,0
273,1,1,0
5,0,0,0
8,0,0,0
115,0,0,0
36,0,0,0
42,0,0,0
20,0,0,0
52,0,0,0
96,0,0,0
23,0,0,0
3,0,0,0
14,0,0,0
14,1,1,0
52,1,1,0
67,4,4,0
9,1,1,0
70,2,2,0
375,0,0,0
21,0,0,0
12,2,2,0
5,0,0,0
7,0,0,0
7,1,1,0
1280,52,11,41
2,0,0,0
5,0,0,0
8,0,0,0
2,0,0,0
316,30,29,1
583,25,13,12
44,9,9,0
3900,6,5,1
3050,4,4,0
4910,3,3,0
147,16,16,0
4890,5,3,2
5040,23,4,19
4830,3,2,1
1310,10,10,0
4820,21,12,9
2,0,0,0
10,1,0,1
8,0,0,0
59,0,0,0
153,0,0,0
1070,4,4,0
518,137,79,58
947,131,70,61
299,83,61,22
1820,1,0,1
1530,4,1,3
3750,42,29,13
595,3,2,1
73,5,4,1
629,48,29,19
3480,49,20,29
3,0,0,0
1050,0,0,0
77,0,0,0
375,1,1,0
11,0,0,0
8,4,3,1
72,1,0,1
26,0,0,0
35,0,0,0
51,0,0,0
280,2,1,1
204,7,7,0
1,0,0,0
2,0,0,0
9090,25,2,23
3,0,0,0
47,2,2,0
145,12,11,1
405,3,2,1
764,1,1,0
16,0,0,0
81,0,0,0
11,1,1,0
11,0,0,0
12,0,0,0
24,0,0,0
1340,5,1,4
533,20,20,0
1400,125,59,66
10,0,0,0
63,0,0,0
133,2,2,0
6200,7,3,4
71,6,3,3
20,8,8,0
461,0,0,0
405,0,0,0
1,0,0,0
1,0,0,0
1510,2,1,1
1800,36,33,3
42,0,0,0
108,0,0,0
136,0,0,0
108,1,1,0
7,0,0,0
7,0,0,0
31,0,0,0
1200,23,3,20
19,0,0,0
2,0,0,0
54,0,0,0
47,0,0,0
6,0,0,0
6,0,0,0
5,0,0,0
8100,159,59,100
233,7,7,0
565,6,6,0
247,0,0,0
669,6,6,0
209,0,0,0
293,0,0,0
284,0,0,0
388,0,0,0
260,4,3,1
382,5,4,1
514,0,0,0
130,16,14,2
5,0,0,0
3,0,0,0
102,2,2,0
64,1,0,1
4040,190,118,72
1280,72,46,26
1880,73,63,10
48,5,4,1
15,7,4,3
21,9,9,0
8,0,0,0
12,0,0,0
17,0,0,0
47,1,1,0
134,4,0,4
57,1,1,0
79,5,1,4
3,0,0,0
21,0,0,0
3,0,0,0
4,0,0,0
395,19,6,13
990,16,4,12
1520,6,2,4
50,1,0,1
4,0,0,0
0,0,0,0
5,2,2,0
14,2,2,0
56,1,0,1
108,0,0,0
123,1,0,1
262,1,1,0
216,0,0,0
1610,21,11,10
10,0,0,0
668,2,1,1
2210,18,16,2
94,5,5,0
174,0,0,0
199,0,0,0
205,0,0,0
14,6,6,0
669,18,18,0
6,0,0,0
2,0,0,0
84,0,0,0
209,1,1,0
20,8,7,1
68,0,0,0
20,0,0,0
33,0,0,0
1020,13,13,0
370,1,0,1
282,3,1,2
260,66,37,29
43,3,0,3
5250,89,59,30
2080,26,12,14
345,6,3,3
406,1,1,0
92,0,0,0
31,0,0,0
39,1,1,0
110,0,0,0
257,0,0,0
8,0,0,0
11,0,0,0
21,3,3,0
21,0,0,0
135,1,1,0
1210,39,19,20
8,5,5,0
208,0,0,0
6,0,0,0
4,0,0,0
33,0,0,0
82,32,20,12
318,0,0,0
646,0,0,0
397,0,0,0
22,0,0,0
770,0,0,0
208,7,3,4
6,0,0,0
18,2,2,0
204,2,2,0
208,5,0,5
293,4,3,1
295,6,6,0
209,8,6,2
272,3,3,0
301,3,3,0
4,0,0,0
8,0,0,0
1,0,0,0
35,0,0,0
49,0,0,0
9,0,0,0
9,0,0,0
316,0,0,0
176,2,2,0
105,9,8,1
170,8,5,3
7,0,0,0
700,0,0,0
1190,1,1,0
2260,0,0,0
2660,48,31,17
1950,31,14,17
2,0,0,0
43,0,0,0
6,0,0,0
106,2,1,1
38,0,0,0
4,0,0,0
1650,22,19,3
2890,31,22,9
199,0,0,0
23,1,1,0
6,0,0,0
6,0,0,0
45,1,1,0
45,1,1,0
12,0,0,0
829,21,2,19
12,0,0,0
1,0,0,0
7,0,0,0
330,1,1,0
14,15,15,0
2400,17,12,5
2500,42,29,13
2240,22,11,11
3000,23,14,9
28,9,6,3
20,3,3,0
364,0,0,0
8,3,3,0
22,0,0,0
26,0,0,0
362,20,20,0
17,0,0,0
1100,2,1,1
1190,16,16,0
27,0,0,0
61,2,2,0
67,0,0,0
545,21,19,2
2,0,0,0
2,0,0,0
19,11,10,1
1320,30,6,24
1610,67,40,27
381,1,1,0
2,0,0,0
36,0,0,0
4940,17,9,8
4850,1,1,0
22,16,16,0
273,3,3,0
10,0,0,0
183,0,0,0
0,0,0,0
1180,8,7,1
1770,5,0,5
6,1,1,0
8,2,2,0
2820,41,12,29
9,0,0,0
1,0,0,0
35,4,4,0
13,0,0,0
48,0,0,0
66,21,21,0
146,4,4,0
534,6,6,0
